tweet_id,hashtags
dic -2020,";lassopresidente;prohibidoolvidar;lassoesmoreno;elecuadordelencuentro;odiarte;somosuno1🇪🇨
;correista;vacunagateec;lassoesmoreno;votabienlatinoamerica;votabien"
dic -2020,;exámensingarantía
jul -2020,;yotbquisiera;yotbqueria;yotbqueria
feb -2020,;elpeorgobiernodelahistoria;;pero
sept -2020,;lassopresidente2021
sept -2020,;vacunasvip;numero1;vacunasvip;numero1
oct -2019,;lassopresidente2021
may -2020,;votabien;venezolanos;ecuavisa;yundaesarauz;andresnomientasotravez;andresasustadoteveo;malldelsur;vera;narcotrafico
nov -2020,;femicorrea
ene -2021,;lassopresidente2021;;;cuquitaleon
may -2020,;andresganasteotravez;;;rutakritica;andresganasteotravez;;;lavieenrose593;andresganasteotravez;;;ecuarauz;andresganasteotravez;;;ecuarauz;andresganasteotravez
mar -2021,;corteconstitucional;corteconstitucional
abr -2020,;lassoesmoreno;ipeconarauz;ipesrevolucion;;;namekusei
feb -2021,;efectolasso
feb -2020,;lassoesdespidos
mar -2021,;vacunadosgold
dic -2020,;lassonuncaserapresidente
oct -2019,";elbinomiodelaesperanza;contigocontodosahora;arauzescorrea;arauzesdivisión;arauzesodio
;arauzesdiscriminación;elvicedelaesperanza;pindal;loja;influjopsíquicobarba;;;;ecuadorpista;urgente;lenin
;lassomienteunayotravez;lassoesmoreno;;;relicheandres"
mar -2020,";borregodatecuenta;elbinomiodelaesperanza;vacunadosvip;peorgobiernodelahistoriaok
;andresnomientrasotravez
;correamorenoyandreslamismacosaes
;borregodatecuenta"
abr -2021,;lassoesunfracasso;;;presidencia;ec
feb -2021,";arauzpresidente
;lassonuncaserapresidentegirasoles

;contigocontodosahora;andréspresidente;lassoesmoreno;vacunadosgold"
mar -2020,comunicación;;;andréspresidente
oct -2020,;yakueslasso;;;carlosverareal;lassoesmoreno;;;luchobarrezueta;prensabasura;;;carlosverareal;feriadobancario;;;ggaj82;lassoesmoreno;;;ggaj82;lassoesmoreno;;;jorge001ramirez;lassoesmoreno;vacunadosgold;lassoeselqueempujalasilla;lassoesmoreno;;;cjara2805jara
oct -2019,;leloestasperdido;leloestasperdido;lelomenestra;leloestasperdido;;;patriciomery;lelo;lelo;lelo;lelo;lelo;andresnomientasotravez;elpaisolamafia;;;ecuarauz;lelo;andresnomientaotravez;elpaisolamafia;lelo;andresnomientasotravez;elpaisolamafia;;;orlandoperezec
nov -2020,;fijezayaesconstitucional;fijezayaesconstitucional
mar -2021,;sisepuede;;;ivanduque
may -2020,;eleccionesecuador2021;yakuperez;lasso;todosconlasso;lassopresidente
nov -2020,;somosuna;vinoconversatoriomujer
may -2021,;ecuador;pandorapapers;iassomentiroso
jun -2020,";arauzpresidente;;;amable0010cree

;arauzpresidente;;;juanmoralesfern;arauzpresidente2021voto
;niunvotoaladerecha"
may -2020,"presidente
;estamosconyacu
;concluyaku
;transparenciacne"
oct -2019,;odiarte;rankingradiodisney;rankingrd
feb -2021,;pactassobanquero;lassomiente
oct -2020,"
;segundavueltaec;ecuador;lasso;debatepresidencialec;elecciones2021ec"
feb -2021,";encontremonosendemocracia
;constituciondevida;lenin;;;encontremonosendemocracia
;constituciondevida"
dic -2020,;lassomiente;lassoesmoreno
dic -2020,;odiarte;rankingradiodisney;rankingrd;odiarte;rankingradiodisney;rankingrd;odiarte;rankingradiodisney;rankingrd;lassomiente;pactassobanquero;lassomiente;todosconlasso
mar -2020,;vacunadosgold;vacunadosgold;lassoesmoreno;vacunadosgold;lassoesmoreno;vacunadosvip;vacunadosgold;lassoesmoreno
oct -2019,";lenin;aliasmashi
lo"
mar -2021,;andresnomientrasotravez;andresasustadoteveo;maduro;;;lolacienfuegos;correamorenoyandreslamismacosaes;;;genesisvera1;andresnomientasotravez;;;andriukaaa
dic -2019,";lassonoresponde
;lassoesmoreno
2013;2015
;yosimeacuerdo;;;orlandoperezec"
jun -2020,;ecuador
feb -2020,";fijezaya
no;eresungrande💪💪;;;fsa;psoe;abusodelatemporalidad
a;rrhh;aapp;psoealmeria
;fijezayaesconstitucional"
jun -2020,;marchmadness
ago -2020,";psplasso

;sucreenlanoticia;elecuadordelencuentro;lassoesmorenobuenos;;;ecuador;elecciones2021ec"
feb -2020,;morenoyalargate;;;82fb639b90484b5;morenoyalargate;;;82fb639b90484b5
ago -2020,verga;;;unasolavueltamameluco;;;leloestasperdido;ecuarauz;;;leloestasperdidoojete;;;contigocontodosahorasolo;;;lassosodaliciopedofiliadesesperadas;;;lassosodaliciopedofiliadeber;;;lassoesdespidos;andresnomientasotravez;;oye;andresnomientasotravez;;;rebeldedigital1
mar -2021,";andresesecuador
;andresteapoya
;contigocontodosahora;andresesecuador
;andresteapoya
;contigocontodosahora;andresesecuador
;andresteapoya
;contigocontodosahora;andresesecuador
;andresteapoya
;contigocontodosahora"
jun -2020,";peorgobiernodelahistoriamoral
;asco;yakuperezg

;asco;;;pelasables;gilaso"
feb -2021,;arauzesmoreno
nov -2020,;andresnomientasotravez;andresnomientasotravez
abr -2021,;lassopresisdente
ago -2020,;lassonuncaserapresidente
jul -2020,;lassonuncaserapresidente;arauzpresidente2021;arauzpresidente2021;lassoesmoreno;lassoesferiadobancario;lassojamasserapresidente;jamasseraspresidente;lassonuncaserapresidente;lassoesmoreno;lassoesferiadobancario;lassoyanosgobernó;arauzpresidente;lassonuncaserapresidente;lassoesferiadobancario;lassoesmoreno;andresarauzpresidente2021;lassomiente;lassoesmoreno;lassoesferiadobancario;lassoodiaalservidorpublico;lassoyanosgobernó;lassonuncaserapresidente;arauzpresidente2021;lassonuncaserapresidente;lassoesmoreno;lassoesferiadobancario;lassomiente;lassoesmoreno;lassoesferiadobancario;lassoodiaalservidorpublico;lassoyanosgobernó;lassomiente;lassonuncaserapresidente;arauzpresidente2021;encuentrocasual;;;carlosp58185334;lassoesmoreno;lassoesferiadobancario;lassomiente;lassoyanosgobernó;lassonuncaserapresidente;arauzpresidente2021;lassonuncaserapresidente;lassoesmoreno;lassoesferiadobancario;lassoyanosgobernó;lassonuncaserapresidente;arauzpresidente;lassonuncaserapresidente;vacunadosgold;lassoesmoreno;genova;italia;;;compromisorc;ecuadordecide2021;;somosrevoluciónciudadana;manabí;alfaro;revoluciónciudadana;arauzpresidente2021
dic -2019,;elecuadordelencuentro
dic -2019,"
;enamoranicaragua
;19marzo
;minsanicaragua
;visitnicaragua
;noelia;arauz;;;jack593;13"
dic -2019,;elecuadordelencuentro;lassoesmoreno
ago -2020,";lassosodaliciopedofilia;lassoodiamanabi
;lassoesmoreno;lassonuncaserapresidente;lassoeselqueempujalasilla;;;luisevivanco;lassosodaliciopedofilia;lassoodiamanabi
;lassoesmoreno;lassonuncaserapresidente;lassoeselqueempujalasilla;;;elcomerciocom"
oct -2019,;vacunadosgold;lassoesmoreno
ene -2020,;elbinomiodelaesperanza;contigocontodosahora;andrésarauzpresidente;arauzescorrea;arauzmiente;;;uncafeconjj;pandorapapers;pandorapapers;pandorapapers
dic -2020,;empresademercadoalimentario;;;ecuarauz
abr -2020,"marcha
;estamosconyacu
;concluyaku
;transparenciacne;;;eluniversocom;leymorenolasso
;feriadasso;leymorenolasso
;feriadasso"
jun -2020,;leydesarrolloeconomico
feb -2020,";acero;cabrera;tabladedrogas;mariposadelsur;presidente;;;anderssonboscan;salcedos;rc;ap;jimenez;ojoalpiojo;;mata
;bozalparajimenez;;me;malaleche
nunca;malaleche
nunca"
sept -2020,;pandorapapers
mar -2021,;arauznomientasotravez;;;salimzaidan;arauznomientasotravez;;;salimzaidan
